name,id
Richard Bruce Wright,1
Amy Tan,2
Scott Turow,3
Canfield. Jack,4
John Grisham,5
Toni Morrison,6
The Onion,7
Celia Brooks Brown,8
Rich Shapero,9
Michael Crichton,10
C. S. Lewis,11
Arthur Phillips,12
Mark Salzman,13
Harper Lee,14
Laura Hillenbrand,15
Barbara Kingsolver,16
Anne Rivers Siddons,17
Dean R. Koontz,18
Mary Higgins Clark,19
Dean Koontz,20
Patricia Cornwell,21
J. D. Robb,22
Maeve Binchy,23
Tim Lahaye,24
Mark Helprin,25
Larry Mcmurtry,26
Carl Sagan,27
Anne Tyler,28
Thomas Hardy,29
Valerie Frankel,30
Benjamin Hoff,31
H. Jackson Brown,32
Robert A. Heinlein,33
Philip Pullman,34
Michael Ondaatje,35
Mike Gayle,36
J. D. Salinger,37
J. R. R. Tolkien,38
John Berendt,39
Jennifer Crusie,40
Jane Heller,41
Robert T. Kiyosaki,42
Ken Follett,43
Louis De Bernieres,44
Mitch Albom,45
Sandra Brown,46
James Patterson,47
Stuart Woods,48
Iris Johansen,49
Dan Brown,50
Joe Hutsko,51
Anita Shreve,52
Ann Rule,53
Paul Theroux,54
Stephen King,55
Tom Clancy,56
Gabriel Garacia Marquez,57
Rebecca Wells,58
Tony Hillerman,59
Robert James Waller,60
Ian Mcewan,61
Anne Frasier,62
Kay Hooper,63
Daphne Du Maurier,64
Nathaniel Hawthorne,65
Laura Wolf,66
Susan Grant,67
Barbara Vine,68
Jane Lindskold,69
David Baldacci,70
Douglas Adams,71
Mary Lawson,72
Willa Cather,73
Olivia Goldsmith,74
Helen Fielding,75
Jane Austen,76
Lilian Jackson Braun,77
Piers Anthony,78
Ray Bradbury,79
Paolo Coelho,80
Michael Moore,81
Arundhati Roy,82
Richard North Patterson,83
Arthur Golden,84
Kent Haruf,85
Patricia D. Cornwell,86
Kathleen E. Woodiwiss,87
Belva Plain,88
Mark Haddon,89
Ann Brashares,90
Nicholas Sparks,91
John Saul,92
Lorna Landvik,93
Steve Thayer,94
Tracy Chevalier,95
Judith Kelman,96
Michael Palmer,97
Frank Mccourt,98
Malachy Mccourt,99
Alexander Mccall Smith,100
Gregory Maguire,101
Yann Martel,102
Al Franken,103
Donna Tartt,104
Terry Pratchett,105
Louise Rennison,106
Charles De Lint,107
Oscar Wilde,108
Sue Townsend,109
Sophie Kinsella,110
Isabel Wolff,111
Louisa May Alcott,112
George Orwell,113
Isabel Allende,114
Joseph Heller,115
Neil Gaiman,116
Alan Moore,117
Tom Wolfe,118
Brady Udall,119
Homer Hickam,120
Pearl Abraham,121
Sebastian Junger,122
David Brin,123
T. Coraghessan Boyle,124
John Darnton,125
Paul Reiser,126
Dave Barry,127
Frank M. Robinson,128
Mary Jane Clark,129
Mary Wollstonecraft Shelley,130
A. Manette Ansay,131
Sarah Waters,132
Anne Frank,133
Greg Palast,134
Nevada Barr,135
Paul Auster,136
John Irving,137
William Gerald Golding,138
Ann Patchett,139
Roald Dahl,140
Sue Monk Kidd,141
Colleen Mccullough,142
Joanne Harris,143
Thomas Cahill,144
Jane Smiley,145
Dick Francis,146
Nora Roberts,147
Barbara Delinsky,148
Joan Anderson,149
Antoine De Saint-Exupгѓв©Ry,150
Richard Bachman,151
"Scott, Cunningham",152
Lewis Carroll,153
Mark Twain,154
Dog Mary Crow,155
Alice Sebold,156
Thomas Harris,157
Edward Rutherfurd,158
Margaret Atwood,159
Dorothy Allison,160
Maya Angelou,161
Elizabeth Wurtzel,162
Don Miguel Ruiz,163
Leo Tolstoy,164
Sandra Dallas,165
Anne Mccaffrey,166
Laura Zigman,167
Margaret Truman,168
Luanne Rice,169
Richard Russo,170
Jostein Gaarder,171
Anna Quindlen,172
Diane Johnson,173
Wally Lamb,174
Adeline Yen Mah,175
Barbara Ehrenreich,176
John Le Carrгѓв©,177
Ted L. Nancy,178
Joyce Reardon,179
Sidney Sheldon,180
Tim Dorsey,181
Elmore Leonard,182
Anita Diamant,183
Patricia Daniels Cornwell,184
Martha Grimes,185
Mil Millington,186
Emma Mclaughlin,187
Adele Lang,188
Catherine Coulter,189
Dominick Dunne,190
Clive Cussler,191
Jonathan Safran Foer,192
Francesca Marciano,193
Julia Glass,194
Tawni O.'Dell,195
Jennifer Weiner,196
Danielle Steel,197
Russell Banks,198
Karen Robards,199
Faye Kellerman,200
Jacquelyn Mitchard,201
Diane Mott Davidson,202
Candace Bushnell,203
Kristin Hannah,204
Michael Marshall,205
Wilbur Smith,206
Michael Slade,207
John Sandford,208
Tami Hoag,209
Robin Cook,210
Armistead Maupin,211
Julie Morgenstern,212
Peter Straub,213
Lisa Jackson,214
Cokie Roberts,215
Justine Korman,216
Beverly Cleary,217
Mercedes Lackey,218
Charles Frazier,219
Fannie Flagg,220
Laura Ingalls Wilder,221
Lisa Gardner,222
Julia Spencer-Fleming,223
Sharyn Mccrumb,224
Eric Schlosser,225
Gail Carson Levine,226
David Schickler,227
Judith Mcnaught,228
Janet Evanovich,229
Sylvia Plath,230
Fern Michaels,231
Sarah Ban Breathnach,232
Alice Hoffman,233
Lisa Scottoline,234
Spencer Johnson,235
Elizabeth Benedict,236
Martha Beck,237
Jack Kerouac,238
Ernest Hemingway,239
Alisa Kwitney,240
Billie Letts,241
Melissa Bank,242
Moon Unit Zappa,243
Gwyn Hyman Rubio,244
Elisabeth Robinson,245
Audrey Niffenegger,246
Chaim Potok,247
Alain-Fournier,248
Rene Barjavel,249
C. Baudelaire,250
Jane Hamilton,251
Jack Higgins,252
David Gutterson,253
Bernhard Schlink,254
Eric Jerome Dickey,255
Patricia Gaffney,256
Richard Paul Evans,257
Marc Levy,258
Jennifer Lauck,259
Jeanne Ray,260
Tony Parsons,261
Laura Esquivel,262
Jan Karon,263
Cormac Mccarthy,264
Sally Mandel,265
Linda Lay Shuler,266
