name,id
Harperflamingo Canada,1
Putnam Pub Group (Paper),2
Audioworks,3
Health Communications,4
Bantam Doubleday Dell Publishing Group,5
Plume Books,6
Three Rivers Press (Ca),7
Ryland Peters &Amp; Small Ltd,8
Too Far,9
Ballantine Books (Mm),10
Donald M. Grant/Scribner,11
Random House Trade Paperbacks,12
Alfred A. Knopf Inc,13
Little Brown &Amp; Company,14
Harpercollins Publishers (Australia) Pty Ltd,15
Harpertorch,16
Bantam Books For Young Readers,17
Pocket Books (Mm),18
Berkley Publishing Group,19
Tyndale House Publishers,20
Avon Books,21
Prentice Hall (K.-12),22
Ntc/Contemporary Publishing Company,23
Avon Trade,24
Penguin Books Australia Ltd.,25
Thomas Nelson Publishers,26
Ace Books,27
Laurel Leaf,28
Hodder &Amp; Stoughton General Division,29
Minotauro,30
St. Martin'S Press,31
Warner Books> C. /O Little Br,32
Signet Books,33
Vintage/Ebury (A. Division Of Random House Group),34
Hyperion Books For Children,35
Tor Books (Mm),36
Back Bay Books,37
Harper Mass Market Paperbacks (Mm),38
Perennial Dark Alley,39
Anchor Books/Doubleday,40
Onyx Books,41
Delta Trade Paperbacks,42
Love Spell/Dorchester Pub. Co.,43
Tor Fantasy,44
Mariner Books,45
Picador (Uk),46
Dover Publications,47
Del Rey Books,48
Spectra Books,49
Distribooks Int'L+Inc,50
Piper,51
Doubleday Books For Young Readers,52
Delacorte Books For Young Readers,53
Warner Vision,54
Jove Books,55
Atria Books,56
Regan Books,57
Harcourt Children'S Books,58
Dutton Books,59
Harpertempest,60
Orb Books,61
Modern Library,62
Knopf Books For Young Readers,63
William Morrow &Amp; Company,64
Signet Classics,65
Faber Faber Inc,66
Simon &Amp; Schuster Children'S Publishing,67
Dc Comics,68
"Farra, Straus &Amp; Giroux, Inc.",69
Riverhead Books,70
Viking Books,71
St. Martin'S Paperbacks,72
"Editores Mexicanos Unidos, S. A.",73
Anagrama,74
Arcade Publishing,75
Fischer Taschenbuch Verlag Gmbh,76
Penguin Usa (Paper),77
Fawcett Books,78
Random House Inc,79
Broadway Books,80
Llewellyn Publications,81
Amber-Allen Publishing,82
St. Martin'S Griffin,83
Dial Books,84
Nan A. Talese,85
Owl Books (Ny),86
Picador Usa,87
Putnam Publishing Group,88
Villard Books,89
Thomas Dunne Books,90
Houghton Mifflin Company,91
Harvest Books,92
Delacorte Press/Seymour Lawrence,93
Silhouette Books,94
Grove Press,95
Macmillan Publishing Company.,96
"Henry Holt &Amp; Company, Inc.",97
Zebra Books (Mass Market),98
Golden Books Publishing Company,99
Scholastic Inc. School Market Edition,100
St. Martin'S Minotaur,101
Touchstone,102
